name,latitude,longitude,heading,shiptype
483,27.48515,50.28436,138,FISHING
484,26.66365,50.18391,1,TANKER
485,26.6637,50.18387,31,TANKER
486,26.94012,50.03796,254,TANKER
487,26.98159,50.1897,309,TANKER
488,27.09163,50.30468,251,TANKER
489,27.09754,50.73508,90,TANKER
490,27.12314,50.81553,269,TANKER
491,26.94394,50.07529,241,TANKER
492,27.11634,50.24941,203,TANKER
493,27.07369,49.67246,295,CARGO
494,27.07371,49.67245,248,CARGO
495,26.29938,50.78085,2,CARGO
496,26.19026,50.68753,72,CARGO
497,26.64657,50.24304,217,TANKER
498,26.61104,50.29798,178,CARGO
499,27.27308,49.93768,169,TANKER
500,27.27284,49.93741,169,TANKER
501,27.11955,50.79183,269,TANKER
502,26.53872,50.17344,239,CARGO
503,26.15667,50.77061,226,TANKER
504,27.33447,50.09154,215,TANKER
505,27.24646,49.88462,337,CARGO
506,27.02498,49.68849,261,CARGO
507,27.16643,49.81692,234,TANKER
508,27.16645,49.81658,234,TANKER
509,27.11518,49.76107,269,TANKER
510,27.33675,50.20457,72,TANKER
511,26.14695,50.78028,226,TANKER
512,27.2468,50.63626,263,TANKER
513,27.17131,49.68227,155,SUPPORT
514,27.17,49.68167,155,SUPPORT
515,27.13332,49.64508,250,SUPPORT
516,27.13338,49.64508,250,SUPPORT
517,26.37102,50.6742,43,SUPPORT
518,24.51828,45.14221,260,TANKER
519,27.30027,50.26933,114,SUPPORT
520,26.195,50.62892,220,CARGO
521,26.89826,50.53571,230,SUPPORT
522,26.32153,50.72551,null,SUPPORT
523,27.18198,49.63889,264,SUPPORT
524,27.18201,49.63894,263,SUPPORT
525,27.20971,50.38278,176,SUPPORT
526,27.27099,50.4007,96,SUPPORT
527,27.27025,50.40714,95,SUPPORT
528,27.26451,49.68483,45,SUPPORT
529,27.2644,49.68347,218,SUPPORT
530,27.28395,49.98782,1,SUPPORT
531,27.11689,50.40158,356,SUPPORT
532,26.86268,49.90752,0,SUPPORT
533,26.98903,50.53566,0,SUPPORT
534,26.85114,50.35627,77,SUPPORT
535,26.89301,49.80737,0,CARGO
536,26.18025,50.21756,null,SUPPORT
537,26.6563,50.26945,257,SUPPORT
538,27.00825,50.56352,235,SUPPORT
539,27.25838,49.63863,218,SUPPORT
540,27.25667,49.63667,322,SUPPORT
541,26.01577,50.47139,251,YACHT
542,26.015,50.47,163,YACHT
543,26.76404,50.57664,190,FISHING
544,26.38898,50.48007,151,YACHT
545,26.60304,50.08147,null,UNKNOWN
546,26.26857,50.49215,212,FISHING
547,26.37389,50.91528,53,YACHT
548,26.40874,50.95833,null,YACHT
549,26.04316,50.72042,274,FISHING
550,26.9611,50.27456,16,FISHING
551,26.65917,50.02879,null,FISHING
552,26.65914,50.02882,null,FISHING
553,27.05408,50.52592,136,FISHING
554,26.88947,50.24677,112,FISHING
555,26.83289,50.53232,288,FISHING
556,26.78068,50.42417,235,FISHING
557,26.10342,50.45202,165,FISHING
558,26.66133,50.7366,154,FISHING
559,26.63985,50.73345,341,FISHING
560,26.70627,50.88279,153,FISHING
561,25.64439,50.21558,null,TANKER
562,25.64439,50.21559,null,TANKER
563,27.1776,50.16534,null,FISHING
564,26.82502,50.93795,267,FISHING
565,27.32754,49.83935,117,FISHING
566,27.32614,49.84684,37,FISHING
567,25.92675,50.63152,359,UNKNOWN
568,27.08434,49.94483,356,FISHING
569,27.07931,49.93574,161,FISHING
570,26.75814,50.41606,64,FISHING
571,26.99537,50.69932,38,FISHING
572,25.46102,50.40315,194,UNKNOWN
573,26.72868,50.44329,null,FISHING
574,26.49532,50.2702,null,UNKNOWN
575,25.27701,50.52285,null,UNKNOWN
576,25.27711,50.52294,null,UNKNOWN
577,26.36349,50.77363,null,UNKNOWN
578,26.51724,50.60567,266,FISHING
579,26.99004,50.35672,356,FISHING
580,27.11917,49.98813,100,FISHING
581,27.02859,49.78094,259,FISHING
582,26.57317,50.62789,159,YACHT
583,26.2942,50.86116,114,YACHT
584,26.54859,50.03036,null,FISHING
585,26.87083,50.62213,326,FISHING
586,26.2241,50.43639,187,FISHING
587,25.69514,50.27523,null,FISHING
588,25.69509,50.27527,null,FISHING
589,25.80855,50.7323,null,FISHING
590,27.04293,50.60135,138,CARGO
591,26.94196,50.70233,147,CARGO
592,26.1141,50.63285,null,YACHT
593,26.40613,50.87481,null,UNKNOWN
594,27.29122,49.41085,355,YACHT
595,26.09389,50.1112,288,YACHT
596,26.09333,50.11,268,YACHT
597,26.89169,50.34452,null,FISHING
598,26.13354,50.6594,351,FISHING
599,25.74631,50.19927,null,SUPPORT
600,26.5778,50.89783,14,FISHING
601,27.15589,49.39988,null,FISHING
602,26.23659,50.50087,344,YACHT
603,25.97475,50.63397,350,FISHING
604,26.10254,50.41209,73,YACHT
605,26.73625,50.78642,61,FISHING
606,26.02832,50.44652,48,FISHING
607,27.14848,50.11703,334,FISHING
608,26.46217,50.5033,39,FISHING
609,26.70378,50.5761,123,FISHING
610,26.64149,50.78823,126,YACHT
611,25.75598,50.18939,null,FISHING
612,27.35161,49.8894,null,FISHING
613,27.35159,49.88941,null,FISHING
614,26.83417,50.79132,130,FISHING
615,26.16941,50.26873,null,YACHT
616,26.14443,50.21204,312,YACHT
617,27.24291,50.26309,143,FISHING
618,27.24154,50.26406,154,FISHING
619,27.33822,50.50548,136,SUPPORT
620,26.05658,50.86118,224,YACHT
621,26.00428,50.83891,61,YACHT
622,26.65194,50.66483,128,FISHING
623,26.20143,50.28591,212,FISHING
624,25.92652,50.16765,null,FISHING
625,26.28573,50.43135,112,YACHT
626,26.27749,50.22209,82,SUPPORT
627,26.27749,50.22209,51,SUPPORT
628,25.93751,50.12119,null,UNKNOWN
629,25.9375,50.12115,null,UNKNOWN
630,26.6472,49.97307,null,FISHING
631,26.84569,50.20871,51,UNKNOWN
632,26.79255,50.67056,161,FISHING
633,27.03718,50.13252,28,FISHING
634,26.16565,50.34619,null,YACHT
635,26.26811,50.57985,140,FISHING
636,26.54176,50.08701,null,FISHING
637,26.53934,50.0875,null,FISHING
638,26.66655,50.13094,null,FISHING
639,26.66659,50.13091,null,FISHING
640,26.52446,50.74357,179,YACHT
641,27.03915,49.98007,262,FISHING
642,27.02472,49.89537,null,FISHING
643,27.29803,49.96041,164,FISHING
644,27.17395,49.99863,null,FISHING
645,26.85377,50.43446,307,FISHING
646,27.16077,50.10389,null,FISHING
647,27.07577,51.01015,92,TANKER
648,27.09163,50.30468,251,TANKER
649,27.15907,51.1295,99,TANKER
650,27.09943,51.59487,98,TANKER
651,27.09754,50.73508,90,TANKER
652,27.21397,51.90078,282,TANKER
653,27.12314,50.81553,269,TANKER
654,27.00567,56.38183,331,TANKER
655,27.177,51.50343,93,TANKER
656,26.77633,52.7616,125,CARGO
657,26.81298,51.28475,322,CARGO
658,26.94625,56.38549,218,TANKER
659,27.0792,52.02545,262,CARGO
660,27.09083,51.77509,83,CARGO
661,27.31152,51.40895,293,TANKER
662,26.91121,52.61455,119,TANKER
663,27.19076,52.11728,289,TANKER
664,27.11955,50.79183,269,TANKER
665,27.18537,51.2904,98,TANKER
666,27.12066,56.11237,91,TANKER
667,27.13165,52.3134,296,TANKER
668,26.78977,56.21848,212,TANKER
669,26.988,56.33767,0,TANKER
670,27.05672,56.33203,163,CARGO
671,27.04948,56.22685,129,CARGO
672,27.5619,51.3143,313,CARGO
673,27.18239,52.23018,113,CARGO
674,27.05922,56.20792,81,CARGO
675,27.37608,51.71006,288,TANKER
676,27.07707,56.36577,324,CARGO
677,27.07667,56.365,325,CARGO
678,28.28913,50.34241,322,CARGO
679,26.89348,52.74537,119,CARGO
680,27.71889,50.79637,114,CARGO
681,26.80849,52.76871,318,CARGO
682,27.04827,55.97492,0,CARGO
683,27.04825,55.97495,0,CARGO
684,28.99747,50.83216,286,TANKER
685,26.98937,52.54891,115,TANKER
686,27.43778,50.41437,319,TANKER
687,27.80557,51.90481,0,SUPPORT
688,27.12379,51.89314,110,CARGO
689,27.51719,50.6799,133,TANKER
690,27.59907,51.22318,42,TANKER
691,27.51432,52.4736,0,TANKER
692,26.91594,56.33599,326,TANKER
693,26.91625,56.33583,330,TANKER
694,26.79987,52.92593,114,TANKER
695,27.2468,50.63626,263,TANKER
696,26.83657,51.01025,255,CARGO
697,28.44689,50.59634,335,CARGO
698,27.02916,52.39761,114,CARGO
699,27.16018,52.01915,113,TANKER
700,27.3334,50.96509,61,TANKER
701,26.87808,51.97152,302,TANKER
702,26.99521,52.62747,114,TANKER
703,27.05208,55.97974,318,SUPPORT
704,27.31767,51.75684,116,TANKER
705,27.53416,52.44792,0,SUPPORT
706,26.8518,52.91396,113,TANKER
